CensusPlaceCode,ST,STName,County,PlaceNameLong,PlaceNameShort,CensusPlaceName,,,,,,,,,
1901179905,IA,Iowa,Benton,City of Urbana,Urbana,Urbana city,,,,,,,,,
1901180400,IA,Iowa,Benton,City of Van Horne,Van Horne,Van Horne city,,,,,,,,,
1901181210,IA,Iowa,Benton,City of Vinton,Vinton,Vinton city,,,,,,,,,
1901181840,IA,Iowa,Benton,City of Walford - Benton County Portion,Walford [Benton Co],Walford city (pt.),,,,,,,,,
1901199990,IA,Iowa,Benton,Balance of Benton County,Unincorporated Benton County,Balance of Benton County,,,,,,,,,
1901300000,IA,Iowa,Black Hawk,Black Hawk County,Black Hawk County,Black Hawk County,,,,,,,,,
1901311755,IA,Iowa,Black Hawk,City of Cedar Falls,Cedar Falls,Cedar Falls city,,,,,,,,,
1901322845,IA,Iowa,Black Hawk,City of Dunkerton,Dunkerton,Dunkerton city,,,,,,,,,
1901324870,IA,Iowa,Black Hawk,City of Elk Run Heights,Elk Run Heights,Elk Run Heights city,,,,,,,,,
1901325995,IA,Iowa,Black Hawk,City of Evansdale,Evansdale,Evansdale city,,,,,,,,,
1901330675,IA,Iowa,Black Hawk,City of Gilbertville,Gilbertville,Gilbertville city,,,,,,,,,
1901337470,IA,Iowa,Black Hawk,City of Hudson,Hudson,Hudson city,,,,,,,,,
1901339405,IA,Iowa,Black Hawk,City of Janesville - Black Hawk County Portion,Janesville [Black Hawk Co],Janesville city (pt.),,,,,,,,,
1901339585,IA,Iowa,Black Hawk,City of Jesup - Black Hawk County Portion,Jesup [Black Hawk Co],Jesup city (pt.),,,,,,,,,
1901343365,IA,Iowa,Black Hawk,City of La Porte City,La Porte City,La Porte City city,,,,,,,,,
1901365820,IA,Iowa,Black Hawk,City of Raymond,Raymond,Raymond city,,,,,,,,,
1901382425,IA,Iowa,Black Hawk,City of Waterloo,Waterloo,Waterloo city,,,,,,,,,
1901399990,IA,Iowa,Black Hawk,Balance of Black Hawk County,Unincorporated Black Hawk County,Balance of Black Hawk County,,,,,,,,,
1901500000,IA,Iowa,Boone,Boone County,Boone County,Boone County,,,,,,,,,
1901505185,IA,Iowa,Boone,City of Beaver,Beaver,Beaver city,,,,,,,,,
1901506040,IA,Iowa,Boone,City of Berkley,Berkley,Berkley city,,,,,,,,,
1901507480,IA,Iowa,Boone,City of Boone,Boone,Boone city,,,,,,,,,
1901507750,IA,Iowa,Boone,City of Boxholm,Boxholm,Boxholm city,,,,,,,,,
1901528920,IA,Iowa,Boone,City of Fraser,Fraser,Fraser city,,,,,,,,,
1901547280,IA,Iowa,Boone,City of Luther,Luther,Luther city,,,,,,,,,
1901548450,IA,Iowa,Boone,City of Madrid,Madrid,Madrid city,,,,,,,,,
1901558665,IA,Iowa,Boone,City of Ogden,Ogden,Ogden city,,,,,,,,,
1901562850,IA,Iowa,Boone,City of Pilot Mound,Pilot Mound,Pilot Mound city,,,,,,,,,
1901572345,IA,Iowa,Boone,City of Sheldahl - Boone County Portion,Sheldahl [Boone Co],Sheldahl city (pt.),,,,,,,,,
1901573515,IA,Iowa,Boone,City of Slater - Boone County Portion,Slater [Boone Co],Slater city (pt.),,,,,,,,,
1901586970,IA,Iowa,Boone,City of Woodward - Boone County Portion,Woodward [Boone Co],Woodward city (pt.),,,,,,,,,
