CensusPlaceCode,ST,STName,County,PlaceNameLong,PlaceNameShort,CensusPlaceName,,,,,,,,,
1904700000,IA,Iowa,Crawford,Crawford County,Crawford County,Crawford County,,,,,,,,,
1904702755,IA,Iowa,Crawford,City of Arion,Arion,Arion city,,,,,,,,,
1904703340,IA,Iowa,Crawford,City of Aspinwall,Aspinwall,Aspinwall city,,,,,,,,,
1904709145,IA,Iowa,Crawford,City of Buck Grove,Buck Grove,Buck Grove city,,,,,,,,,
1904712900,IA,Iowa,Crawford,City of Charter Oak,Charter Oak,Charter Oak city,,,,,,,,,
1904719765,IA,Iowa,Crawford,City of Deloit,Deloit,Deloit city,,,,,,,,,
1904719945,IA,Iowa,Crawford,City of Denison,Denison,Denison city,,,,,,,,,
1904722215,IA,Iowa,Crawford,City of Dow City,Dow City,Dow City city,,,,,,,,,
1904722890,IA,Iowa,Crawford,City of Dunlap - Crawford County Portion,Dunlap [Crawford Co],Dunlap city (pt.),,,,,,,,,
1904741610,IA,Iowa,Crawford,City of Kiron,Kiron,Kiron city,,,,,,,,,
1904748855,IA,Iowa,Crawford,City of Manilla,Manilla,Manilla city,,,,,,,,,
1904766855,IA,Iowa,Crawford,City of Ricketts,Ricketts,Ricketts city,,,,,,,,,
1904771130,IA,Iowa,Crawford,City of Schleswig,Schleswig,Schleswig city,,,,,,,,,
1904780130,IA,Iowa,Crawford,City of Vail,Vail,Vail city,,,,,,,,,
1904784630,IA,Iowa,Crawford,City of Westside,Westside,Westside city,,,,,,,,,
1904799990,IA,Iowa,Crawford,Balance of Crawford County,Unincorporated Crawford County,Balance of Crawford County,,,,,,,,,
1904900000,IA,Iowa,Dallas,Dallas County,Dallas County,Dallas County,,,,,,,,,
1904900505,IA,Iowa,Dallas,City of Adel,Adel,Adel city,,,,,,,,,
1904907660,IA,Iowa,Dallas,City of Bouton,Bouton,Bouton city,,,,,,,,,
1904914520,IA,Iowa,Dallas,City of Clive - Dallas County Portion,Clive [Dallas Co],Clive city (pt.),,,,,,,,,
1904918255,IA,Iowa,Dallas,City of Dallas Center,Dallas Center,Dallas Center city,,,,,,,,,
1904919135,IA,Iowa,Dallas,City of Dawson,Dawson,Dawson city,,,,,,,,,
1904921045,IA,Iowa,Dallas,City of De Soto,De Soto,De Soto city,,,,,,,,,
1904921225,IA,Iowa,Dallas,City of Dexter,Dexter,Dexter city,,,,,,,,,
1904932160,IA,Iowa,Dallas,City of Granger - Dallas County Portion,Granger [Dallas Co],Granger city (pt.),,,,,,,,,
1904933060,IA,Iowa,Dallas,City of Grimes - Dallas County Portion,Grimes [Dallas Co],Grimes city (pt.),,,,,,,,,
1904945390,IA,Iowa,Dallas,City of Linden,Linden,Linden city,,,,,,,,,
1904952545,IA,Iowa,Dallas,City of Minburn,Minburn,Minburn city,,,,,,,,,
1904962355,IA,Iowa,Dallas,City of Perry,Perry,Perry city,,,,,,,,,
1904966045,IA,Iowa,Dallas,City of Redfield,Redfield,Redfield city,,,,,,,,,
1904979950,IA,Iowa,Dallas,City of Urbandale - Dallas County Portion,Urbandale [Dallas Co],Urbandale city (pt.),,,,,,,,,
1904980445,IA,Iowa,Dallas,City of Van Meter,Van Meter,Van Meter city,,,,,,,,,
1904982695,IA,Iowa,Dallas,City of Waukee,Waukee,Waukee city,,,,,,,,,
1904983910,IA,Iowa,Dallas,City of West Des Moines - Dallas County Portion,West Des Moines [Dallas Co],West Des Moines city (pt.),,,,,,,,,
1904986970,IA,Iowa,Dallas,City of Woodward - Dallas County Portion,Woodward [Dallas Co],Woodward city (pt.),,,,,,,,,
1904999990,IA,Iowa,Dallas,Balance of Dallas County,Unincorporated Dallas County,Balance of Dallas County,,,,,,,,,
1905100000,IA,Iowa,Davis,Davis County,Davis County,Davis County,,,,,,,,,
1905107030,IA,Iowa,Davis,City of Bloomfield,Bloomfield,Bloomfield city,,,,,,,,,
1905122350,IA,Iowa,Davis,City of Drakesville,Drakesville,Drakesville city,,,,,,,,,
1905127975,IA,Iowa,Davis,City of Floris,Floris,Floris city,,,,,,,,,
1905165055,IA,Iowa,Davis,City of Pulaski,Pulaski,Pulaski city,,,,,,,,,
1905199990,IA,Iowa,Davis,Balance of Davis County,Unincorporated Davis County,Balance of Davis County,,,,,,,,,
1905300000,IA,Iowa,Decatur,Decatur County,Decatur County,Decatur County,,,,,,,,,
1905319090,IA,Iowa,Decatur,City of Davis City,Davis City,Davis City city,,,,,,,,,
1905319315,IA,Iowa,Decatur,City of Decatur,Decatur,Decatur city,,,,,,,,,
1905329775,IA,Iowa,Decatur,City of Garden Grove,Garden Grove,Garden Grove city,,,,,,,,,
1905332070,IA,Iowa,Decatur,City of Grand River,Grand River,Grand River city,,,,,,,,,
1905342960,IA,Iowa,Decatur,City of Lamoni,Lamoni,Lamoni city,,,,,,,,,
1905344535,IA,Iowa,Decatur,City of Leon,Leon,Leon city,,,,,,,,,
1905344580,IA,Iowa,Decatur,City of Le Roy,Le Roy,Le Roy city,,,,,,,,,
1905363570,IA,Iowa,Decatur,City of Pleasanton,Pleasanton,Pleasanton city,,,,,,,,,
1905380490,IA,Iowa,Decatur,City of Van Wert,Van Wert,Van Wert city,,,,,,,,,
1905383190,IA,Iowa,Decatur,City of Weldon,Weldon,Weldon city,,,,,,,,,
1905399990,IA,Iowa,Decatur,Balance of Decatur County,Unincorporated Decatur County,Balance of Decatur County,,,,,,,,,
1905500000,IA,Iowa,Delaware,Delaware County,Delaware County,Delaware County,,,,,,,,,
1905515015,IA,Iowa,Delaware,City of Colesburg,Colesburg,Colesburg city,,,,,,,,,
1905519630,IA,Iowa,Delaware,City of Delaware,Delaware,Delaware city,,,,,,,,,
1905519675,IA,Iowa,Delaware,City of Delhi,Delhi,Delhi city,,,,,,,,,
1905522800,IA,Iowa,Delaware,City of Dundee,Dundee,Dundee city,,,,,,,,,
1905523115,IA,Iowa,Delaware,City of Dyersville - Delaware County Portion,Dyersville [Delaware Co],Dyersville city (pt.),,,,,,,,,
1905523430,IA,Iowa,Delaware,City of Earlville,Earlville,Earlville city,,,,,,,,,
1905524060,IA,Iowa,Delaware,City of Edgewood - Delaware County Portion,Edgewood [Delaware Co],Edgewood city (pt.),,,,,,,,,
1905532610,IA,Iowa,Delaware,City of Greeley,Greeley,Greeley city,,,,,,,,,
1905537155,IA,Iowa,Delaware,City of Hopkinton,Hopkinton,Hopkinton city,,,,,,,,,
1905548810,IA,Iowa,Delaware,City of Manchester,Manchester,Manchester city,,,,,,,,,
1905550205,IA,Iowa,Delaware,City of Masonville,Masonville,Masonville city,,,,,,,,,
1905569465,IA,Iowa,Delaware,City of Ryan,Ryan,Ryan city,,,,,,,,,
1905599990,IA,Iowa,Delaware,Balance of Delaware County,Unincorporated Delaware County,Balance of Delaware County,,,,,,,,,
1905700000,IA,Iowa,Des Moines,Des Moines County,Des Moines County,Des Moines County,,,,,,,,,
1905709550,IA,Iowa,Des Moines,City of Burlington,Burlington,Burlington city,,,,,,,,,
1905718435,IA,Iowa,Des Moines,City of Danville,Danville,Danville city,,,,,,,,,
1905750790,IA,Iowa,Des Moines,City of Mediapolis,Mediapolis,Mediapolis city,,,,,,,,,
1905751735,IA,Iowa,Des Moines,City of Middletown,Middletown,Middletown city,,,,,,,,,
1905783685,IA,Iowa,Des Moines,City of West Burlington,West Burlington,West Burlington city,,,,,,,,,
1905799990,IA,Iowa,Des Moines,Balance of Des Moines County,Unincorporated Des Moines County,Balance of Des Moines County,,,,,,,,,
1905900000,IA,Iowa,Dickinson,Dickinson County,Dickinson County,Dickinson County,,,,,,,,,
1905903025,IA,Iowa,Dickinson,City of Arnolds Park,Arnolds Park,Arnolds Park city,,,,,,,,,
1905942600,IA,Iowa,Dickinson,City of Lake Park,Lake Park,Lake Park city,,,,,,,,,
1905952095,IA,Iowa,Dickinson,City of Milford,Milford,Milford city,,,,,,,,,
1905958710,IA,Iowa,Dickinson,City of Okoboji,Okoboji,Okoboji city,,,,,,,,,
1905959655,IA,Iowa,Dickinson,City of Orleans,Orleans,Orleans city,,,,,,,,,
1905974415,IA,Iowa,Dickinson,City of Spirit Lake,Spirit Lake,Spirit Lake city,,,,,,,,,
1905976440,IA,Iowa,Dickinson,City of Superior,Superior,Superior city,,,,,,,,,
1905977520,IA,Iowa,Dickinson,City of Terril,Terril,Terril city,,,,,,,,,
1905981615,IA,Iowa,Dickinson,City of Wahpeton,Wahpeton,Wahpeton city,,,,,,,,,
1905984450,IA,Iowa,Dickinson,City of West Okoboji,West Okoboji,West Okoboji city,,,,,,,,,
1905999990,IA,Iowa,Dickinson,Balance of Dickinson County,Unincorporated Dickinson County,Balance of Dickinson County,,,,,,,,,
1906100000,IA,Iowa,Dubuque,Dubuque County,Dubuque County,Dubuque County,,,,,,,,,
1906103160,IA,Iowa,Dubuque,City of Asbury,Asbury,Asbury city,,,,,,,,,
1906104375,IA,Iowa,Dubuque,City of Balltown,Balltown,Balltown city,,,,,,,,,
1906104510,IA,Iowa,Dubuque,City of Bankston,Bankston,Bankston city,,,,,,,,,
1906106085,IA,Iowa,Dubuque,City of Bernard,Bernard,Bernard city,,,,,,,,,
1906111305,IA,Iowa,Dubuque,City of Cascade - Dubuque County Portion,Cascade [Dubuque Co],Cascade city (pt.),,,,,,,,,
1906112630,IA,Iowa,Dubuque,City of Centralia,Centralia,Centralia city,,,,,,,,,
1906122395,IA,Iowa,Dubuque,City of Dubuque,Dubuque,Dubuque city,,,,,,,,,
1906122935,IA,Iowa,Dubuque,City of Durango,Durango,Durango city,,,,,,,,,
1906123115,IA,Iowa,Dubuque,City of Dyersville - Dubuque County Portion,Dyersville [Dubuque Co],Dyersville city (pt.),,,,,,,,,
1906125725,IA,Iowa,Dubuque,City of Epworth,Epworth,Epworth city,,,,,,,,,
1906126760,IA,Iowa,Dubuque,City of Farley,Farley,Farley city,,,,,,,,,
1906131845,IA,Iowa,Dubuque,City of Graf,Graf,Graf city,,,,,,,,,
1906136885,IA,Iowa,Dubuque,City of Holy Cross,Holy Cross,Holy Cross city,,,,,,,,,
1906147460,IA,Iowa,Dubuque,City of Luxemburg,Luxemburg,Luxemburg city,,,,,,,,,
1906156550,IA,Iowa,Dubuque,City of New Vienna,New Vienna,New Vienna city,,,,,,,,,
1906162130,IA,Iowa,Dubuque,City of Peosta,Peosta,Peosta city,,,,,,,,,
1906166810,IA,Iowa,Dubuque,City of Rickardsville,Rickardsville,Rickardsville city,,,,,,,,,
1906169690,IA,Iowa,Dubuque,City of Sageville,Sageville,Sageville city,,,,,,,,,
1906172660,IA,Iowa,Dubuque,City of Sherrill,Sherrill,Sherrill city,,,,,,,,,
1906187060,IA,Iowa,Dubuque,City of Worthington,Worthington,Worthington city,,,,,,,,,
1906187690,IA,Iowa,Dubuque,City of Zwingle - Dubuque County Portion,Zwingle [Dubuque Co],Zwingle city (pt.),,,,,,,,,
1906199990,IA,Iowa,Dubuque,Balance of Dubuque County,Unincorporated Dubuque County,Balance of Dubuque County,,,,,,,,,
1906300000,IA,Iowa,Emmet,Emmet County,Emmet County,Emmet County,,,,,,,,,
1906302935,IA,Iowa,Emmet,City of Armstrong,Armstrong,Armstrong city,,,,,,,,,
1906321675,IA,Iowa,Emmet,City of Dolliver,Dolliver,Dolliver city,,,,,,,,,
1906325860,IA,Iowa,Emmet,City of Estherville,Estherville,Estherville city,,,,,,,,,
1906333240,IA,Iowa,Emmet,City of Gruver,Gruver,Gruver city,,,,,,,,,
1906367170,IA,Iowa,Emmet,City of Ringsted,Ringsted,Ringsted city,,,,,,,,,
1906381975,IA,Iowa,Emmet,City of Wallingford,Wallingford,Wallingford city,,,,,,,,,
1906399990,IA,Iowa,Emmet,Balance of Emmet County,Unincorporated Emmet County,Balance of Emmet County,,,,,,,,,
1906500000,IA,Iowa,Fayette,Fayette County,Fayette County,Fayette County,,,,,,,,,
1906502845,IA,Iowa,Fayette,City of Arlington,Arlington,Arlington city,,,,,,,,,
1906514250,IA,Iowa,Fayette,City of Clermont,Clermont,Clermont city,,,,,,,,,
1906524645,IA,Iowa,Fayette,City of Elgin,Elgin,Elgin city,,,,,,,,,
1906526355,IA,Iowa,Fayette,City of Fairbank - Fayette County Portion,Fairbank [Fayette Co],Fairbank city (pt.),,,,,,,,,
1906527165,IA,Iowa,Fayette,City of Fayette,Fayette,Fayette city,,,,,,,,,
1906535310,IA,Iowa,Fayette,City of Hawkeye,Hawkeye,Hawkeye city,,,,,,,,,
1906550610,IA,Iowa,Fayette,City of Maynard,Maynard,Maynard city,,,,,,,,,
1906558620,IA,Iowa,Fayette,City of Oelwein,Oelwein,Oelwein city,,,,,,,,,
1906570050,IA,Iowa,Fayette,City of St. Lucas,St. Lucas,St. Lucas city,,,,,,,,,
1906574955,IA,Iowa,Fayette,City of Stanley - Fayette County Portion,Stanley [Fayette Co],Stanley city (pt.),,,,,,,,,
1906576260,IA,Iowa,Fayette,City of Sumner - Fayette County Portion,Sumner [Fayette Co],Sumner city (pt.),,,,,,,,,
1906581570,IA,Iowa,Fayette,City of Wadena,Wadena,Wadena city,,,,,,,,,
1906582650,IA,Iowa,Fayette,City of Waucoma,Waucoma,Waucoma city,,,,,,,,,
1906584180,IA,Iowa,Fayette,City of Westgate,Westgate,Westgate city,,,,,,,,,
1906584765,IA,Iowa,Fayette,City of West Union,West Union,West Union city,,,,,,,,,
1906599990,IA,Iowa,Fayette,Balance of Fayette County,Unincorporated Fayette County,Balance of Fayette County,,,,,,,,,
1906700000,IA,Iowa,Floyd,Floyd County,Floyd County,Floyd County,,,,,,,,,
1906712765,IA,Iowa,Floyd,City of Charles City,Charles City,Charles City city,,,,,,,,,
1906715465,IA,Iowa,Floyd,City of Colwell,Colwell,Colwell city,,,,,,,,,
1906728020,IA,Iowa,Floyd,City of Floyd,Floyd,Floyd city,,,,,,,,,
1906732745,IA,Iowa,Floyd,City of Greene - Floyd County Portion,Greene [Floyd Co],Greene city (pt.),,,,,,,,,
1906749305,IA,Iowa,Floyd,City of Marble Rock,Marble Rock,Marble Rock city,,,,,,,,,
1906755335,IA,Iowa,Floyd,City of Nashua - Floyd County Portion,Nashua [Floyd Co],Nashua city (pt.),,,,,,,,,
1906756910,IA,Iowa,Floyd,City of Nora Springs - Floyd County Portion,Nora Springs [Floyd Co],Nora Springs city (pt.),,,,,,,,,
1906768070,IA,Iowa,Floyd,City of Rockford,Rockford,Rockford city,,,,,,,,,
1906769195,IA,Iowa,Floyd,City of Rudd,Rudd,Rudd city,,,,,,,,,
1906799990,IA,Iowa,Floyd,Balance of Floyd County,Unincorporated Floyd County,Balance of Floyd County,,,,,,,,,
1906900000,IA,Iowa,Franklin,Franklin County,Franklin County,Franklin County,,,,,,,,,
1906900190,IA,Iowa,Franklin,City of Ackley - Franklin County Portion,Ackley [Franklin Co],Ackley city (pt.),,,,,,,,,
1906901090,IA,Iowa,Franklin,City of Alexander,Alexander,Alexander city,,,,,,,,,
1906916815,IA,Iowa,Franklin,City of Coulter,Coulter,Coulter city,,,,,,,,,
1906922305,IA,Iowa,Franklin,City of Dows - Franklin County Portion,Dows [Franklin Co],Dows city (pt.),,,,,,,,,
1906930135,IA,Iowa,Franklin,City of Geneva,Geneva,Geneva city,,,,,,,,,
1906933960,IA,Iowa,Franklin,City of Hampton,Hampton,Hampton city,,,,,,,,,
1906934365,IA,Iowa,Franklin,City of Hansell,Hansell,Hansell city,,,,,,,,,
1906943590,IA,Iowa,Franklin,City of Latimer,Latimer,Latimer city,,,,,,,,,
1906964110,IA,Iowa,Franklin,City of Popejoy,Popejoy,Popejoy city,,,,,,,,,
1906972210,IA,Iowa,Franklin,City of Sheffield,Sheffield,Sheffield city,,,,,,,,,
1906999990,IA,Iowa,Franklin,Balance of Franklin County,Unincorporated Franklin County,Balance of Franklin County,,,,,,,,,
1907100000,IA,Iowa,Fremont,Fremont County,Fremont County,Fremont County,,,,,,,,,
1907126985,IA,Iowa,Fremont,City of Farragut,Farragut,Farragut city,,,,,,,,,
1907133780,IA,Iowa,Fremont,City of Hamburg,Hamburg,Hamburg city,,,,,,,,,
1907138055,IA,Iowa,Fremont,City of Imogene,Imogene,Imogene city,,,,,,,,,
1907165640,IA,Iowa,Fremont,City of Randolph,Randolph,Randolph city,,,,,,,,,
1907167575,IA,Iowa,Fremont,City of Riverton,Riverton,Riverton city,,,,,,,,,
1907172525,IA,Iowa,Fremont,City of Shenandoah - Fremont County Portion,Shenandoah [Fremont Co],Shenandoah city (pt.),,,,,,,,,
1907173065,IA,Iowa,Fremont,City of Sidney,Sidney,Sidney city,,,,,,,,,
1907176935,IA,Iowa,Fremont,City of Tabor - Fremont County Portion,Tabor [Fremont Co],Tabor city (pt.),,,,,,,,,
1907177970,IA,Iowa,Fremont,City of Thurman,Thurman,Thurman city,,,,,,,,,
1907199990,IA,Iowa,Fremont,Balance of Fremont County,Unincorporated Fremont County,Balance of Fremont County,,,,,,,,,
1907300000,IA,Iowa,Greene,Greene County,Greene County,Greene County,,,,,,,,,
1907313350,IA,Iowa,Greene,City of Churdan,Churdan,Churdan city,,,,,,,,,
1907318345,IA,Iowa,Greene,City of Dana,Dana,Dana city,,,,,,,,,
1907331980,IA,Iowa,Greene,City of Grand Junction,Grand Junction,Grand Junction city,,,,,,,,,
1907339450,IA,Iowa,Greene,City of Jefferson,Jefferson,Jefferson city,,,,,,,,,
1907361815,IA,Iowa,Greene,City of Paton,Paton,Paton city,,,,,,,,,
1907365505,IA,Iowa,Greene,City of Ralston - Greene County Portion,Ralston [Greene Co],Ralston city (pt.),,,,,,,,,
1907367215,IA,Iowa,Greene,City of Rippey,Rippey,Rippey city,,,,,,,,,
1907371310,IA,Iowa,Greene,City of Scranton,Scranton,Scranton city,,,,,,,,,
1907399990,IA,Iowa,Greene,Balance of Greene County,Unincorporated Greene County,Balance of Greene County,,,,,,,,,
1907500000,IA,Iowa,Grundy,Grundy County,Grundy County,Grundy County,,,,,,,,,
1907505140,IA,Iowa,Grundy,City of Beaman,Beaman,Beaman city,,,,,,,,,
1907515825,IA,Iowa,Grundy,City of Conrad,Conrad,Conrad city,,,,,,,,,
1907521405,IA,Iowa,Grundy,City of Dike,Dike,Dike city,,,,,,,,,
1907533195,IA,Iowa,Grundy,City of Grundy Center,Grundy Center,Grundy Center city,,,,,,,,,
1907536705,IA,Iowa,Grundy,City of Holland,Holland,Holland city,,,,,,,,,
1907554165,IA,Iowa,Grundy,City of Morrison,Morrison,Morrison city,,,,,,,,,
1907566315,IA,Iowa,Grundy,City of Reinbeck,Reinbeck,Reinbeck city,,,,,,,,,
1907575720,IA,Iowa,Grundy,City of Stout,Stout,Stout city,,,,,,,,,
1907583325,IA,Iowa,Grundy,City of Wellsburg,Wellsburg,Wellsburg city,,,,,,,,,
1907599990,IA,Iowa,Grundy,Balance of Grundy County,Unincorporated Grundy County,Balance of Grundy County,,,,,,,,,
1907700000,IA,Iowa,Guthrie,Guthrie County,Guthrie County,Guthrie County,,,,,,,,,
1907700370,IA,Iowa,Guthrie,City of Adair - Guthrie County Portion,Adair [Guthrie Co],Adair city (pt.),,,,,,,,,
1907704240,IA,Iowa,Guthrie,City of Bagley,Bagley,Bagley city,,,,,,,,,
1907704960,IA,Iowa,Guthrie,City of Bayard,Bayard,Bayard city,,,,,,,,,
1907711395,IA,Iowa,Guthrie,City of Casey - Guthrie County Portion,Casey [Guthrie Co],Casey city (pt.),,,,,,,,,
1907716050,IA,Iowa,Guthrie,City of Coon Rapids - Guthrie County Portion,Coon Rapids [Guthrie Co],Coon Rapids city (pt.),,,,,,,,,
1907733420,IA,Iowa,Guthrie,City of Guthrie Center,Guthrie Center,Guthrie Center city,,,,,,,,,
1907739225,IA,Iowa,Guthrie,City of Jamaica,Jamaica,Jamaica city,,,,,,,,,
1907751105,IA,Iowa,Guthrie,City of Menlo,Menlo,Menlo city,,,,,,,,,
1907761320,IA,Iowa,Guthrie,City of Panora,Panora,Panora city,,,,,,,,,
1907775990,IA,Iowa,Guthrie,City of Stuart - Guthrie County Portion,Stuart [Guthrie Co],Stuart city (pt.),,,,,,,,,
1907787285,IA,Iowa,Guthrie,City of Yale,Yale,Yale city,,,,,,,,,
1907799990,IA,Iowa,Guthrie,Balance of Guthrie County,Unincorporated Guthrie County,Balance of Guthrie County,,,,,,,,,
1907900000,IA,Iowa,Hamilton,Hamilton County,Hamilton County,Hamilton County,,,,,,,,,
1907906760,IA,Iowa,Hamilton,City of Blairsburg,Blairsburg,Blairsburg city,,,,,,,,,
1907925050,IA,Iowa,Hamilton,City of Ellsworth,Ellsworth,Ellsworth city,,,,,,,,,
1907939675,IA,Iowa,Hamilton,City of Jewell Junction,Jewell Junction,Jewell Junction city,,,,,,,,,
1907940215,IA,Iowa,Hamilton,City of Kamrar,Kamrar,Kamrar city,,,,,,,,,
1907965595,IA,Iowa,Hamilton,City of Randall,Randall,Randall city,,,,,,,,,
1907974910,IA,Iowa,Hamilton,City of Stanhope,Stanhope,Stanhope city,,,,,,,,,
1907975810,IA,Iowa,Hamilton,City of Stratford - Hamilton County Portion,Stratford [Hamilton Co],Stratford city (pt.),,,,,,,,,
1907983145,IA,Iowa,Hamilton,City of Webster City,Webster City,Webster City city,,,,,,,,,
1907985800,IA,Iowa,Hamilton,City of Williams,Williams,Williams city,,,,,,,,,
1907999990,IA,Iowa,Hamilton,Balance of Hamilton County,Unincorporated Hamilton County,Balance of Hamilton County,,,,,,,,,
1908100000,IA,Iowa,Hancock,Hancock County,Hancock County,Hancock County,,,,,,,,,
1908108605,IA,Iowa,Hancock,City of Britt,Britt,Britt city,,,,,,,,,
1908116590,IA,Iowa,Hancock,City of Corwith,Corwith,Corwith city,,,,,,,,,
1908117670,IA,Iowa,Hancock,City of Crystal Lake,Crystal Lake,Crystal Lake city,,,,,,,,,
1908128380,IA,Iowa,Hancock,City of Forest City - Hancock County Portion,Forest City [Hancock Co],Forest City city (pt.),,,,,,,,,
1908129955,IA,Iowa,Hancock,City of Garner,Garner,Garner city,,,,,,,,,
1908131575,IA,Iowa,Hancock,City of Goodell,Goodell,Goodell city,,,,,,,,,
1908140260,IA,Iowa,Hancock,City of Kanawha,Kanawha,Kanawha city,,,,,,,,,
1908141655,IA,Iowa,Hancock,City of Klemme,Klemme,Klemme city,,,,,,,,,
1908186700,IA,Iowa,Hancock,City of Woden,Woden,Woden city,,,,,,,,,
1908199990,IA,Iowa,Hancock,Balance of Hancock County,Unincorporated Hancock County,Balance of Hancock County,,,,,,,,,
1908300000,IA,Iowa,Hardin,Hardin County,Hardin County,Hardin County,,,,,,,,,
1908300190,IA,Iowa,Hardin,City of Ackley - Hardin County Portion,Ackley [Hardin Co],Ackley city (pt.),,,,,,,,,
1908301045,IA,Iowa,Hardin,City of Alden,Alden,Alden city,,,,,,,,,
1908309100,IA,Iowa,Hardin,City of Buckeye,Buckeye,Buckeye city,,,,,,,,,
1908324465,IA,Iowa,Hardin,City of Eldora,Eldora,Eldora city,,,,,,,,,
1908337425,IA,Iowa,Hardin,City of Hubbard,Hubbard,Hubbard city,,,,,,,,,
1908338640,IA,Iowa,Hardin,City of Iowa Falls,Iowa Falls,Iowa Falls city,,,,,,,,,
1908356415,IA,Iowa,Hardin,City of New Providence,New Providence,New Providence city,,,,,,,,,
1908360555,IA,Iowa,Hardin,City of Owasa,Owasa,Owasa city,,,,,,,,,
1908365370,IA,Iowa,Hardin,City of Radcliffe,Radcliffe,Radcliffe city,,,,,,,,,
1908375180,IA,Iowa,Hardin,City of Steamboat Rock,Steamboat Rock,Steamboat Rock city,,,,,,,,,
1908379545,IA,Iowa,Hardin,City of Union,Union,Union city,,,,,,,,,
1908385305,IA,Iowa,Hardin,City of Whitten,Whitten,Whitten city,,,,,,,,,
1908399990,IA,Iowa,Hardin,Balance of Hardin County,Unincorporated Hardin County,Balance of Hardin County,,,,,,,,,
1908500000,IA,Iowa,Harrison,Harrison County,Harrison County,Harrison County,,,,,,,,,
1908522890,IA,Iowa,Harrison,City of Dunlap - Harrison County Portion,Dunlap [Harrison Co],Dunlap city (pt.),,,,,,,,,
1908545840,IA,Iowa,Harrison,City of Little Sioux,Little Sioux,Little Sioux city,,,,,,,,,
1908546155,IA,Iowa,Harrison,City of Logan,Logan,Logan city,,,,,,,,,
1908548495,IA,Iowa,Harrison,City of Magnolia,Magnolia,Magnolia city,,,,,,,,,
1908552860,IA,Iowa,Harrison,City of Missouri Valley,Missouri Valley,Missouri Valley city,,,,,,,,,
1908552995,IA,Iowa,Harrison,City of Modale,Modale,Modale city,,,,,,,,,
1908553175,IA,Iowa,Harrison,City of Mondamin,Mondamin,Mondamin city,,,,,,,,,
1908562445,IA,Iowa,Harrison,City of Persia,Persia,Persia city,,,,,,,,,
1908563075,IA,Iowa,Harrison,City of Pisgah,Pisgah,Pisgah city,,,,,,,,,
1908586835,IA,Iowa,Harrison,City of Woodbine,Woodbine,Woodbine city,,,,,,,,,
1908599990,IA,Iowa,Harrison,Balance of Harrison County,Unincorporated Harrison County,Balance of Harrison County,,,,,,,,,
1908700000,IA,Iowa,Henry,Henry County,Henry County,Henry County,,,,,,,,,
1908716140,IA,Iowa,Henry,City of Coppock - Henry County Portion,Coppock [Henry Co],Coppock city (pt.),,,,,,,,,
1908736390,IA,Iowa,Henry,City of Hillsboro,Hillsboro,Hillsboro city,,,,,,,,,
1908754705,IA,Iowa,Henry,City of Mount Pleasant,Mount Pleasant,Mount Pleasant city,,,,,,,,,
1908756325,IA,Iowa,Henry,City of New London,New London,New London city,,,,,,,,,
1908758890,IA,Iowa,Henry,City of Olds,Olds,Olds city,,,,,,,,,
1908768565,IA,Iowa,Henry,City of Rome,Rome,Rome city,,,,,,,,,
1908770230,IA,Iowa,Henry,City of Salem,Salem,Salem city,,,,,,,,,
1908782965,IA,Iowa,Henry,City of Wayland,Wayland,Wayland city,,,,,,,,,
1908784835,IA,Iowa,Henry,City of Westwood,Westwood,Westwood city,,,,,,,,,
1908786385,IA,Iowa,Henry,City of Winfield,Winfield,Winfield city,,,,,,,,,
1908799990,IA,Iowa,Henry,Balance of Henry County,Unincorporated Henry County,Balance of Henry County,,,,,,,,,
1908900000,IA,Iowa,Howard,Howard County,Howard County,Howard County,,,,,,,,,
1908913125,IA,Iowa,Howard,City of Chester,Chester,Chester city,,,,,,,,,
1908917220,IA,Iowa,Howard,City of Cresco,Cresco,Cresco city,,,,,,,,,
1908925095,IA,Iowa,Howard,City of Elma,Elma,Elma city,,,,,,,,,
1908945165,IA,Iowa,Howard,City of Lime Springs,Lime Springs,Lime Springs city,,,,,,,,,
1908965010,IA,Iowa,Howard,City of Protivin - Howard County Portion,Protivin [Howard Co],Protivin city (pt.),,,,,,,,,
1908966585,IA,Iowa,Howard,City of Riceville - Howard County Portion,Riceville [Howard Co],Riceville city (pt.),,,,,,,,,
1908999990,IA,Iowa,Howard,Balance of Howard County,Unincorporated Howard County,Balance of Howard County,,,,,,,,,
1909100000,IA,Iowa,Humboldt,Humboldt County,Humboldt County,Humboldt County,,,,,,,,,
1909107210,IA,Iowa,Humboldt,City of Bode,Bode,Bode city,,,,,,,,,
1909108065,IA,Iowa,Humboldt,City of Bradgate,Bradgate,Bradgate city,,,,,,,,,
1909118075,IA,Iowa,Humboldt,City of Dakota City,Dakota City,Dakota City city,,,,,,,,,
1909130945,IA,Iowa,Humboldt,City of Gilmore City - Humboldt County Portion,Gilmore City [Humboldt Co],Gilmore City city (pt.),,,,,,,,,
1909134455,IA,Iowa,Humboldt,City of Hardy,Hardy,Hardy city,,,,,,,,,
1909137560,IA,Iowa,Humboldt,City of Humboldt,Humboldt,Humboldt city,,,,,,,,,
1909145975,IA,Iowa,Humboldt,City of Livermore,Livermore,Livermore city,,,,,,,,,
